Numer pomiaru; Czas[hh:mm:ss]; Data[dd-mm-rrrr]; Temperatura[*C]; Ciśnienie[hPa]; Przybliżona wysokość n.p.m.[m]; Wilgotność[%] 
0;15:06:45;10-12-2020;8.98;1008.82;119.71;51.38
1;15:16:45;10-12-2020;8.66;1008.37;119.57;52.20
2;15:26:45;10-12-2020;9.19;1008.25;119.56;52.96
3;15:36:45;10-12-2020;9.23;1008.55;119.99;53.71
4;15:46:45;10-12-2020;9.19;1008.21;119.32;54.39
5;15:56:45;10-12-2020;9.29;1008.19;119.94;55.00
6;16:06:45;10-12-2020;8.49;1008.10;119.17;55.47
7;16:16:45;10-12-2020;8.75;1008.93;119.10;55.84
8;16:26:45;10-12-2020;9.11;1008.09;119.17;56.24
9;16:36:46;10-12-2020;8.55;1008.18;119.93;56.57
10;16:46:46;10-12-2020;9.06;1008.18;119.36;56.83
